--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
../dataset-demo/demo\01-01.png	This                     	0.9987
../dataset-demo/demo\01-02.png	is                       	0.9973
../dataset-demo/demo\01-03.png	the                      	0.9997
../dataset-demo/demo\01-04.png	Altention                	0.5225
../dataset-demo/demo\01-05.png	demo!                    	0.5219
../dataset-demo/demo\02-01.png	This                     	0.9988
../dataset-demo/demo\02-02.png	is                       	0.9997
../dataset-demo/demo\02-03.png	the                      	0.9999
../dataset-demo/demo\02-04.png	Attention                	0.9908
../dataset-demo/demo\02-05.png	demal                    	0.6311
../dataset-demo/demo\02-06.jpg	6/2/2024                 	0.5617
../dataset-demo/demo\line0_word0.jpg	.                        	0.2212
../dataset-demo/demo\line0_word1.jpg	,                        	0.2659
../dataset-demo/demo\line0_word2.jpg	Gastr//hirer/            	0.0010
../dataset-demo/demo\line0_word3.jpg	PLANETGASTRO             	0.9667
../dataset-demo/demo\line0_word4.jpg	Dr.ParthK.Shah           	0.0760
../dataset-demo/demo\line0_word5.jpg	man                      	0.0069
../dataset-demo/demo\line1_word0.jpg	Amithou                  	0.0871
../dataset-demo/demo\line1_word1.jpg	,                        	0.4746
../dataset-demo/demo\line1_word2.jpg	25/01                    	0.4519
../dataset-demo/demo\line1_word3.jpg	12024                    	0.7184
../dataset-demo/demo\line2_word0.jpg	flurdo                   	0.1893
../dataset-demo/demo\line2_word1.jpg	NASHERILATED             	0.0087
../dataset-demo/demo\line3_word0.jpg	Re                       	0.0928
../dataset-demo/demo\line3_word1.jpg	PHTN                     	0.8429
../dataset-demo/demo\line4_word0.jpg	a                        	0.1537
../dataset-demo/demo\line4_word1.jpg	HRS-NAKT                 	0.4415
../dataset-demo/demo\line4_word5.jpg	you                      	0.1877
../dataset-demo/demo\line5_word0.jpg	.                        	0.5301
../dataset-demo/demo\line5_word1.jpg	Adi                      	0.0929
../dataset-demo/demo\line6_word0.jpg	Therapeatic              	0.9700
../dataset-demo/demo\line6_word1.jpg	ascitic                  	0.8108
../dataset-demo/demo\line7_word0.jpg	This                     	0.6531
../dataset-demo/demo\line7_word1.jpg	H.                       	0.8278
../dataset-demo/demo\line7_word2.jpg	Albumin                  	0.9828
../dataset-demo/demo\line7_word3.jpg	20%                      	0.5993
../dataset-demo/demo\line7_word4.jpg	oom                      	0.2193
../dataset-demo/demo\line8_word0.jpg	IV                       	0.8616
../dataset-demo/demo\line8_word1.jpg	over                     	0.9987
../dataset-demo/demo\line8_word2.jpg	shoms                    	0.8050
../dataset-demo/demo\line9_word0.jpg	Therapent                	0.9718
../dataset-demo/demo\line12_word4.jpg	hour                     	0.5725
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
../dataset-demo/demo\01-01.png	This                     	0.9987
../dataset-demo/demo\01-02.png	is                       	0.9973
../dataset-demo/demo\01-03.png	the                      	0.9997
../dataset-demo/demo\01-04.png	Altention                	0.5225
../dataset-demo/demo\01-05.png	demo!                    	0.5219
../dataset-demo/demo\02-01.png	This                     	0.9988
../dataset-demo/demo\02-02.png	is                       	0.9997
../dataset-demo/demo\02-03.png	the                      	0.9999
../dataset-demo/demo\02-04.png	Attention                	0.9908
../dataset-demo/demo\02-05.png	demal                    	0.6311
../dataset-demo/demo\02-06.jpg	6/2/2024                 	0.5617
../dataset-demo/demo\line0_word0.jpg	.                        	0.2212
../dataset-demo/demo\line0_word1.jpg	,                        	0.2659
../dataset-demo/demo\line0_word2.jpg	Gastr//hirer/            	0.0010
../dataset-demo/demo\line0_word3.jpg	PLANETGASTRO             	0.9667
../dataset-demo/demo\line0_word4.jpg	Dr.ParthK.Shah           	0.0760
../dataset-demo/demo\line0_word5.jpg	man                      	0.0069
../dataset-demo/demo\line1_word0.jpg	Amithou                  	0.0871
../dataset-demo/demo\line1_word1.jpg	,                        	0.4746
../dataset-demo/demo\line1_word2.jpg	25/01                    	0.4519
../dataset-demo/demo\line1_word3.jpg	12024                    	0.7184
../dataset-demo/demo\line2_word0.jpg	flurdo                   	0.1893
../dataset-demo/demo\line2_word1.jpg	NASHERILATED             	0.0087
../dataset-demo/demo\line3_word0.jpg	Re                       	0.0928
../dataset-demo/demo\line3_word1.jpg	PHTN                     	0.8429
../dataset-demo/demo\line4_word0.jpg	a                        	0.1537
../dataset-demo/demo\line4_word1.jpg	HRS-NAKT                 	0.4415
../dataset-demo/demo\line4_word5.jpg	you                      	0.1877
../dataset-demo/demo\line5_word0.jpg	.                        	0.5301
../dataset-demo/demo\line5_word1.jpg	Adi                      	0.0929
../dataset-demo/demo\line6_word0.jpg	Therapeatic              	0.9700
../dataset-demo/demo\line6_word1.jpg	ascitic                  	0.8108
../dataset-demo/demo\line7_word0.jpg	This                     	0.6531
../dataset-demo/demo\line7_word1.jpg	H.                       	0.8278
../dataset-demo/demo\line7_word2.jpg	Albumin                  	0.9828
../dataset-demo/demo\line7_word3.jpg	20%                      	0.5993
../dataset-demo/demo\line7_word4.jpg	oom                      	0.2193
../dataset-demo/demo\line8_word0.jpg	IV                       	0.8616
../dataset-demo/demo\line8_word1.jpg	over                     	0.9987
../dataset-demo/demo\line8_word2.jpg	shoms                    	0.8050
../dataset-demo/demo\line9_word0.jpg	Therapent                	0.9718
../dataset-demo/demo\line12_word4.jpg	hour                     	0.5725
